,Player Name,Shooting,Saving,statsbomb_name,player_norm
0,Aaron Ramsey,78.0,10.25,,
1,Ainsley Maitland-Niles,55.166666666666664,15.5,,
2,Alex Iwobi,57.166666666666664,15.0,,
3,Alex Oxlade-Chamberlain,70.33333333333333,14.75,,
4,Alexis Sánchez,80.66666666666667,13.75,,
5,Calum Chambers,52.0,13.75,,
6,Carl Jenkinson,55.0,15.5,,
7,Chuba Akpom,57.166666666666664,12.5,,
8,Daniel Crowley,49.833333333333336,15.25,,
9,Danny Welbeck,75.66666666666667,14.0,,
10,David Ospina,18.5,99.5,,
11,Donyell Malen,59.666666666666664,11.75,,
12,Emiliano Martinez,24.5,83.5,,
13,Francis Coquelin,55.666666666666664,13.0,,
14,Gabriel,53.166666666666664,14.5,,
15,Glen Kamara,42.833333333333336,12.0,,
16,Héctor Bellerín,52.833333333333336,13.75,,
17,Isaac Hayden,44.166666666666664,13.25,,
18,Jack Wilshere,70.16666666666667,11.75,,
19,Jeff Reine-Adelaïde,51.333333333333336,14.75,,
20,Joel Campbell,73.33333333333333,15.0,,
21,Jon Toral,67.0,12.75,,
22,Julio Pleguezuelo,37.666666666666664,15.75,,
23,Kieran Gibbs,59.833333333333336,11.75,,
24,Krystian Bielik,46.833333333333336,13.25,,
25,Laurent Koscielny,41.666666666666664,13.75,,
26,Marcus McGuane,52.333333333333336,14.75,,
27,Mathieu Flamini,68.16666666666667,9.75,,
28,Matt Macey,18.0,64.25,,
29,Mesut Özil,76.33333333333333,11.5,,
30,Mohamed Elneny,62.666666666666664,11.75,,
31,Nacho Monreal,58.166666666666664,6.75,,
32,Olivier Giroud,81.66666666666667,12.5,,
33,Per Mertesacker,41.166666666666664,14.25,,
34,Petr Čech,16.166666666666668,105.0,,
35,Santi Cazorla,78.5,10.75,,
36,Serge Gnabry,59.666666666666664,13.5,,
37,Tafari Moore,35.333333333333336,15.75,,
38,Theo Walcott,75.16666666666667,11.75,,
39,Tomáš Rosický,72.16666666666667,15.75,,
40,Wellington Silva,65.5,15.25,,
41,Yaya Sanogo,64.0,17.75,,
42,Adama,57.333333333333336,13.5,,
43,Alan Hutton,50.833333333333336,14.0,,
44,Aly Cissokho,57.5,15.25,,
45,André Green,56.5,11.75,,
46,Ashley Westwood,54.0,12.0,,
47,Benjamin Siegrist,15.166666666666666,77.75,,
48,Brad Guzan,19.166666666666668,96.75,,
