player_id,statsbomb_name,statsbomb_name_norm,fifa_player_name,fifa_name_norm,match_score
3671.0,José Leonardo Ulloa,jose leonardo ulloa,Leonardo Ulloa,leonardo ulloa,95.0
3671.0,José Leonardo Ulloa,jose leonardo ulloa,José Enrique,jose enrique,85.5
3671.0,José Leonardo Ulloa,jose leonardo ulloa,José Fonte,jose fonte,85.5
3671.0,José Leonardo Ulloa,jose leonardo ulloa,Jose Holebas,jose holebas,85.5
3671.0,José Leonardo Ulloa,jose leonardo ulloa,Joselu,joselu,75.00000000000001
3961.0,N''Golo Kanté,n''golo kante,N'Golo Kanté,n'golo kante,96.0
9554.0,Steven Fletcher,steven fletcher,Ashley Fletcher,ashley fletcher,73.33333333333334
9554.0,Steven Fletcher,steven fletcher,Darren Fletcher,darren fletcher,73.33333333333334
9554.0,Steven Fletcher,steven fletcher,Steven CaulkerL,steven caulkerl,66.66666666666667
9554.0,Steven Fletcher,steven fletcher,Steve Harper,steve harper,66.66666666666667
4429.0,Yann Gérard M''Vila,yann gerard m''vila,Yann M'Vila,yann m'vila,85.5
4429.0,Yann Gérard M''Vila,yann gerard m''vila,Ryan Seager,ryan seager,66.31578947368422
43627.0,Jordi Gómez García-Penche,jordi gomez garcia penche,Jordi Gómez,jordi gomez,90.0
43627.0,Jordi Gómez García-Penche,jordi gomez garcia penche,Joe Gomez,joe gomez,85.5
43627.0,Jordi Gómez García-Penche,jordi gomez garcia penche,Aleix García,aleix garcia,85.5
43627.0,Jordi Gómez García-Penche,jordi gomez garcia penche,Manu García,manu garcia,85.5
43627.0,Jordi Gómez García-Penche,jordi gomez garcia penche,Jordi Amat,jordi amat,85.5
4041.0,José Salomón Rondón Giménez,jose salomon rondon gimenez,Salomón Rondón,salomon rondon,90.0
4041.0,José Salomón Rondón Giménez,jose salomon rondon gimenez,José Enrique,jose enrique,85.5
4041.0,José Salomón Rondón Giménez,jose salomon rondon gimenez,José Fonte,jose fonte,85.5
4041.0,José Salomón Rondón Giménez,jose salomon rondon gimenez,Jose Holebas,jose holebas,85.5
4041.0,José Salomón Rondón Giménez,jose salomon rondon gimenez,Joselu,joselu,72.0
3967.0,Claudio Ariel Yacob,claudio ariel yacob,Claudio Yacob,claudio yacob,95.0
3967.0,Claudio Ariel Yacob,claudio ariel yacob,Gabriel,gabriel,71.25
3436.0,Idrissa Gana Gueye,idrissa gana gueye,Idrissa Gueye,idrissa gueye,95.0
8061.0,Siem Stefan de Jong,siem stefan de jong,De Gea,de gea,85.5
8061.0,Siem Stefan de Jong,siem stefan de jong,Siem de Jong,siem de jong,85.5
