sofifa_id,short_name,long_name,player_positions,overall,club_team_id,club_name,league_name,league_level,shooting,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed
183277,E. Hazard,Eden Hazard,LM,89,5.0,Chelsea,English Premier League,1.0,82.0,11,12,6,8,8,
168542,David Silva,David Josué Jiménez Silva,"CAM, LM",88,10.0,Manchester City,English Premier League,1.0,74.0,1,1,1,1,1,
153079,S. Agüero,Sergio Leonel Agüero del Castillo,ST,87,10.0,Manchester City,English Premier League,1.0,87.0,13,15,6,11,14,
162895,Cesc Fàbregas,Francesc Fàbregas i Soler,"CM, CAM",87,5.0,Chelsea,English Premier League,1.0,78.0,6,10,8,15,15,
176635,M. Özil,Mesut Özil,"CAM, LW",87,1.0,Arsenal,English Premier League,1.0,74.0,6,14,10,6,14,
54050,W. Rooney,Wayne Mark Rooney,"ST, CM, CAM",86,11.0,Manchester United,English Premier League,1.0,86.0,10,11,13,8,7,
121944,B. Schweinsteiger,Bastian Schweinsteiger,"CM, CDM",86,11.0,Manchester United,English Premier League,1.0,79.0,14,14,13,13,11,
179844,Diego Costa,Diego da Silva Costa,ST,86,5.0,Chelsea,English Premier League,1.0,83.0,11,13,12,8,11,
184941,A. Sánchez,Alexis Alejandro Sánchez Sánchez,"LW, RW",86,1.0,Arsenal,English Premier League,1.0,83.0,10,10,15,12,13,
192119,T. Courtois,Thibaut Courtois,GK,86,5.0,Chelsea,English Premier League,1.0,,84,87,69,86,88,49.0
192985,K. De Bruyne,Kevin De Bruyne,"CAM, LM, RM",86,10.0,Manchester City,English Premier League,1.0,83.0,15,13,5,10,13,
193080,De Gea,David De Gea Quintana,GK,86,11.0,Manchester United,English Premier League,1.0,,88,81,86,83,89,53.0
13732,J. Terry,John Terry,CB,85,5.0,Chelsea,English Premier League,1.0,47.0,14,5,6,15,8,
20289,Y. Touré,Gnégnéri Yaya Touré,"CM, CDM",85,10.0,Manchester City,English Premier League,1.0,83.0,13,14,6,12,8,
48940,P. Čech,Petr Čech,GK,85,1.0,Arsenal,English Premier League,1.0,,83,84,73,83,84,49.0
139720,V. Kompany,Vincent Jean Mpoy Kompany,CB,85,10.0,Manchester City,English Premier League,1.0,54.0,10,9,5,8,6,
146562,Santi Cazorla,Santiago Cazorla González,"CAM, CM, LM",85,1.0,Arsenal,English Premier League,1.0,78.0,6,9,5,7,15,
167948,H. Lloris,Hugo Lloris,GK,85,18.0,Tottenham Hotspur,English Premier League,1.0,,87,82,68,81,88,64.0
150724,J. Hart,Charles Joseph John Hart,GK,84,10.0,Manchester City,English Premier League,1.0,,85,79,76,84,87,60.0
178088,Juan Mata,Juan Manuel Mata García,"RM, CAM",84,11.0,Manchester United,English Premier League,1.0,75.0,9,10,14,5,8,
188152,Oscar,Oscar dos Santos Emboaba Júnior,"CAM, RM",84,5.0,Chelsea,English Premier League,1.0,75.0,12,10,15,12,12,
189242,Coutinho,Philippe Coutinho Correia,"CAM, LW, CM",84,9.0,Liverpool,English Premier League,1.0,74.0,12,7,9,14,6,
191202,N. Matić,Nemanja Matić,CDM,84,5.0,Chelsea,English Premier League,1.0,70.0,7,15,12,14,9,
192366,N. Otamendi,Nicolás Hernán Gonzalo Otamendi,CB,84,10.0,Manchester City,English Premier League,1.0,56.0,12,5,8,11,12,
53612,P. Mertesacker,Per Mertesacker,CB,83,1.0,Arsenal,English Premier League,1.0,41.0,12,13,5,12,8,
163631,L. Baines,Leighton Baines,LB,83,7.0,Everton,English Premier League,1.0,75.0,8,15,10,13,12,
164468,G. Cahill,Gary Cahill,CB,83,5.0,Chelsea,English Premier League,1.0,58.0,5,12,9,5,12,
165229,L. Koscielny,Laurent Koscielny,CB,83,1.0,Arsenal,English Premier League,1.0,40.0,13,11,9,11,7,
165239,S. Nasri,Samir Nasri,"LM, RM",83,10.0,Manchester City,English Premier League,1.0,76.0,1,1,1,1,1,
167397,Falcao,Radamel Falcao García Zárate,ST,83,5.0,Chelsea,English Premier League,1.0,82.0,10,13,6,9,5,
171833,D. Sturridge,Daniel Andre Sturridge,"ST, RW",83,9.0,Liverpool,English Premier League,1.0,83.0,7,15,9,5,13,
189505,Pedro,Pedro Eliezer Rodríguez Ledesma,"LW, RW",83,5.0,Chelsea,English Premier League,1.0,76.0,5,11,12,15,9,
190460,C. Eriksen,Christian Dannemann Eriksen,"CAM, LM",83,18.0,Tottenham Hotspur,English Premier League,1.0,75.0,9,14,7,7,6,
106573,Victor Valdés,Víctor Valdés Arribas,GK,82,11.0,Manchester United,English Premier League,1.0,,82,78,77,85,83,57.0
142784,P. Zabaleta,Pablo Javier Zabaleta Girod,RB,82,10.0,Manchester City,English Premier League,1.0,56.0,10,14,15,7,5,
172723,A. Begović,Asmir Begović,GK,82,5.0,Chelsea,English Premier League,1.0,,83,80,74,80,84,55.0
172871,J. Vertonghen,Jan Vertonghen,"CB, LB",82,18.0,Tottenham Hotspur,English Premier League,1.0,67.0,6,10,9,12,7,
177358,M. Schneiderlin,Morgan Schneiderlin,"CDM, CM",82,11.0,Manchester United,English Premier League,1.0,63.0,6,11,12,14,7,
180403,Willian,Willian Borges da Silva,"RM, CAM",82,5.0,Chelsea,English Premier League,1.0,74.0,14,12,13,7,13,
184111,C. Benteke,Christian Benteke Liolo,ST,82,9.0,Liverpool,English Premier League,1.0,81.0,14,5,12,8,5,
184432,Azpilicueta,César Azpilicueta Tanco,LB,82,5.0,Chelsea,English Premier League,1.0,56.0,13,9,10,6,5,
186561,A. Ramsey,Aaron Ramsey,"CM, RW, CDM",82,1.0,Arsenal,English Premier League,1.0,78.0,6,11,5,10,8,
201942,Roberto Firmino,Roberto Firmino Barbosa de Oliveira,"CAM, CF",82,9.0,Liverpool,English Premier League,1.0,76.0,8,11,9,6,10,
202652,R. Sterling,Raheem Sterling,"LM, ST, RM",82,10.0,Manchester City,English Premier League,1.0,71.0,15,12,12,15,9,
45119,Mikel Arteta,Mikel Arteta Amatriain,"CM, CDM",81,1.0,Arsenal,English Premier League,1.0,73.0,15,14,14,11,12,
53914,P. Jagielka,Phil Jagielka,CB,81,7.0,Everton,English Premier League,1.0,46.0,32,33,38,32,34,
134979,M. Demichelis,Martín Gastón Demichelis,CB,81,10.0,Manchester City,English Premier League,1.0,40.0,7,11,12,7,6,
163824,A. Williams,Ashley Williams,CB,81,1960.0,Swansea City,English Premier League,1.0,43.0,7,10,16,7,10,
164859,T. Walcott,Theo Walcott,"RM, ST",81,1.0,Arsenal,English Premier League,1.0,77.0,11,8,9,9,8,
166706,M. Škrtel,Martin Škrtel,CB,81,9.0,Liverpool,English Premier League,1.0,38.0,15,5,7,6,11,
171791,José Fonte,José Miguel da Rocha Fonte,CB,81,17.0,Southampton,English Premier League,1.0,35.0,7,11,16,10,6,
176993,Bojan,Bojan Krkíc Pérez,"CAM, ST, RW",81,1806.0,Stoke City,English Premier League,1.0,73.0,5,14,8,14,7,
177388,D. Payet,Dimitri Payet,"CAM, LM",81,19.0,West Ham United,English Premier League,1.0,76.0,11,15,9,14,12,
178509,O. Giroud,Olivier Giroud,ST,81,1.0,Arsenal,English Premier League,1.0,82.0,12,15,11,6,5,
179527,L. Rémy,Loïc Alex Teliére Hubert Rémy,ST,81,5.0,Chelsea,English Premier League,1.0,80.0,9,10,15,14,12,
180216,S. Coleman,Séamus Coleman,RB,81,7.0,Everton,English Premier League,1.0,68.0,5,15,10,13,7,
183285,M. Sakho,Mamadou Sakho,CB,81,9.0,Liverpool,English Premier League,1.0,33.0,14,12,9,7,8,
184087,T. Alderweireld,Toby Alderweireld,"CB, CDM, RB",81,18.0,Tottenham Hotspur,English Premier League,1.0,59.0,16,6,14,16,14,
184392,M. Darmian,Matteo Darmian,"RB, RWB, LWB",81,11.0,Manchester United,English Premier League,1.0,51.0,6,7,7,12,7,
189461,J. Wilshere,Jack Wilshere,"CM, CDM",81,1.0,Arsenal,English Premier League,1.0,69.0,6,15,15,9,11,
189963,W. Bony,Wilfried Guemiand Bony,ST,81,10.0,Manchester City,English Premier League,1.0,83.0,10,8,5,7,11,
190456,N. Clyne,Nathaniel Edwin Clyne,RB,81,9.0,Liverpool,English Premier League,1.0,61.0,10,11,13,15,7,
191740,Ander Herrera,Ander Herrera Agüera,"CM, CAM",81,11.0,Manchester United,English Premier League,1.0,70.0,9,12,15,9,8,
201862,M. Rojo,Faustino Marcos Alberto Rojo,"CB, LB",81,11.0,Manchester United,English Premier League,1.0,60.0,7,8,12,15,10,
202556,M. Depay,Memphis Depay,"LW, CAM",81,11.0,Manchester United,English Premier League,1.0,78.0,8,14,6,12,10,
8473,T. Rosický,Tomáš Rosický,"CAM, RM",80,1.0,Arsenal,English Premier League,1.0,70.0,14,11,6,11,13,
16254,T. Howard,Timothy Matthew Howard,GK,80,7.0,Everton,English Premier League,1.0,,82,76,77,81,82,49.0
21146,M. Carrick,Michael Carrick,"CM, CDM",80,11.0,Manchester United,English Premier League,1.0,68.0,13,12,11,15,9,
135507,Fernandinho,Fernando Luiz Rosa,"CM, CDM",80,10.0,Manchester City,English Premier League,1.0,75.0,12,11,5,13,7,
137677,M. Vorm,Michel Vorm,GK,80,18.0,Tottenham Hotspur,English Premier League,1.0,,83,75,77,79,84,58.0
