Player,Preferred Foot,Preferred Foot Rating,Weak Foot Rating
Junior Stanislas,Right,5,3
Joshua King,Right,5,2
Riyad Mahrez,Left,5,4
José Leonardo Ulloa,Right,5,4
Jamie Vardy,Right,5,3
Dan Gosling,Right,5,3
Wes Morgan,Right,5,3
Adam Smith,Right,5,3
N''Golo Kanté,Right,5,3
Robert Huth,Right,5,3
Charlie Daniels,Left,5,3
Shinji Okazaki,Right,5,4
Danny Drinkwater,Right,5,4
Lee Cattermole,Right,5,3
Steven Fletcher,Left,5,3
Billy Jones,Right,5,3
Yann Gérard M''Vila,Right,5,3
Stéphane Sessègnon,Right,5,3
James McClean,Left,5,2
Jordi Gómez García-Penche,Left,5,3
Craig Dawson,Right,5,2
José Salomón Rondón Giménez,Right,5,4
Claudio Ariel Yacob,Right,5,3
Saido Berahino,Right,5,4
Jermain Defoe,Right,5,4
Danny Graham,Right,5,3
Idrissa Gana Gueye,Right,5,3
Papiss Demba Cissé,Right,5,4
Aleksandar Mitrović,Right,5,4
Fabricio Coloccini,Right,5,4
Ashley Westwood,Right,5,3
Leandro Bacuna,Right,5,3
Jordan Veretout,Right,5,3
Moussa Sissoko,Right,5,2
Jordan Ayew,Right,5,3
Siem Stefan de Jong,Right,5,4
Rudy Gestede,Right,5,3
Carlos Alberto Sánchez Moreno,Left,5,3
Georginio Wijnaldum,Right,5,2
Ayoze Pérez Gutiérrez,Right,5,4
Tom Cleverley,Right,5,3
Marc Pugh,Right,5,4
Ross Barkley,Right,5,5
Matt Ritchie,Left,5,4
Steve Cook,Right,5,3
El-Hadji Baye Oumar Niasse,Right,5,3
Callum Wilson,Right,5,3
Leighton Baines,Left,5,3
Aaron Lennon,Right,5,3
Tony Hibbert,Right,5,2
Benik Afobe,Right,5,3
Yohan Cabaye,Right,5,4
Troy Deeney,Right,5,5
Connor Wickham,Right,5,3
Pape N''Diaye Souaré,Left,5,2
Odion Jude Ighalo,Right,5,3
Emmanuel Adebayor,Right,5,3
Jordon Mutch,Right,5,4
Nathan Aké,Left,5,3
Mario Suárez Mata,Right,5,3
Chung-Yong Lee,Right,5,3
Damien Delaney,Left,5,3
Wilfried Zaha,Right,5,3
Almen Abdi,Right,5,4
Joel Ward,Right,5,3
Olivier Giroud,Left,5,3
Gabriel Armando de Abreu,Right,5,2
Alexis Alejandro Sánchez Sánchez,Right,5,3
Jack Wilshere,Left,5,2
Scott Sinclair,Right,5,2
Kevin Toner,Left,5,3
Héctor Bellerín Moruno,Right,5,3
Mohamed Naser Elsayed Elneny,Right,5,3
Santiago Cazorla González,Right,5,5
Jack Grealish,Right,5,3
Micah Richards,Right,5,3
Mikel Arteta Amatriain,Right,5,4
Oluwaseyi Babajide Ojo,Left,5,4
Christian Benteke Liolo,Right,5,4
Cameron Brannagan,Right,5,3
Jordon Ibe,Right,5,4
Joe Allen,Right,5,3
Tyler Roberts,Right,5,3
Harry Kane,Right,5,3
Kyle Walker,Right,5,2
Christian Dannemann Eriksen,Right,5,5
Eric Dier,Right,5,3
Danny Rose,Left,5,3
Bamidele Alli,Right,5,3
Lewis Grabban,Right,5,3
Ryan Mason,Right,5,3
Sergio Leonel Agüero del Castillo,Right,5,4
Kevin De Bruyne,Right,5,5
Raheem Sterling,Right,5,2
Aleksandar Kolarov,Left,5,3
Bacary Sagna,Right,5,4
Marc Albrighton,Right,5,3
Christian Fuchs,Left,5,2
Nicolás Hernán Otamendi,Right,5,3
Gnégnéri Yaya Touré,Right,5,4
Fernando Luiz Rosa,Right,5,4
Wilfried Guemiand Bony,Right,5,4
Yannick Bolasie Yala,Right,5,4
Dwight Gayle,Right,5,4
Séamus Coleman,Right,5,3
Arouna Koné,Right,5,4
Romelu Lukaku Menama,Left,5,4
Mile Jedinak,Right,5,3
Jason Puncheon,Left,5,2
John Stones,Right,5,3
José Ramiro Funes Mori,Left,5,3
Ryan Bennett,Right,5,2
Alexander Banor Tettey,Right,5,3
Cameron Jerome,Right,5,2
Nathan Redmond,Right,5,3
Robert Brady,Left,5,4
Patrick Bamford,Left,5,3
Jack Rodwell,Right,5,4
Wahbi Khazri,Right,5,4
Dame N''Doye,Right,5,3
Scott Dann,Right,5,3
Younes Kaboul,Right,5,3
Patrick van Aanholt,Left,5,2
Fabio Borini,Right,5,3
Bakary Sako,Left,5,3
Russell Martin,Right,5,3
Darren Fletcher,Right,5,3
Craig Gardner,Right,5,3
Gary O''Neil,Right,5,3
Erik Lamela,Left,5,2
Joleon Lescott,Left,5,3
Daniel Andre Sturridge,Left,5,2
Roberto Firmino Barbosa de Oliveira,Right,5,4
Philippe Coutinho Correia,Right,5,4
Emre Can,Right,5,4
Adam David Lallana,Right,5,5
Bertrand Isidore Traoré,Left,5,3
Dejan Lovren,Right,5,4
Pedro Eliezer Rodríguez Ledesma,Right,5,5
Eden Hazard,Right,5,4
Gary Cahill,Right,5,3
Willian Borges da Silva,Right,5,4
Francesc Fàbregas i Soler,Right,5,3
Kolo Habib Touré,Right,5,3
Nathaniel Edwin Clyne,Right,5,3
James Philip Milner,Right,5,4
Adam Johnson,Left,5,4
Jordan Brian Henderson,Right,5,3
Duncan Watmore,Right,5,3
Bojan Krkíc Pérez,Right,5,3
Memphis Depay,Right,5,2
Ander Herrera Agüera,Right,5,4
Marko Arnautović,Right,5,4
Erik Pieters,Left,5,2
Marouane Fellaini-Bakkioui,Right,5,3
Anthony Martial,Right,5,4
Ibrahim Afellay,Right,5,4
Charlie Adam,Left,5,3
Juan Manuel Mata García,Left,5,3
Ben Watson,Right,5,3
Ikechi Anya,Right,5,3
Xherdan Shaqiri,Left,5,4
Juan Carlos Paredes Reasco,Right,5,3
Jonathan Walters,Right,5,3
Etienne Capoue,Right,5,3
Geoff Cameron,Right,5,3
Fabian Delph,Left,5,3
Ramires Santos do Nascimento,Right,5,3
Glen Johnson,Right,5,4
Glenn Whelan,Right,5,4
Diego da Silva Costa,Right,5,4
Nemanja Matić,Left,5,3
Oscar dos Santos Emboaba Júnior,Right,5,3
Loïc Rémy,Right,5,3
Glenn Murray,Right,5,3
Mame Biram Diouf,Right,5,3
Sylvain Distin,Left,5,2
Marco van Ginkel,Right,5,4
Ritchie De Laet,Right,5,4
Paddy McNair,Right,5,3
Victor Moses,Right,5,4
Mauro Matías Zárate,Right,5,4
Winston Reid,Right,5,3
Matteo Darmian,Right,5,5
Chris Smalling,Right,5,3
Jesse Lingard,Right,5,3
Morgan Schneiderlin,Right,5,3
Mark Noble,Right,5,3
Guillermo Varela Olivera,Right,5,3
Bastian Schweinsteiger,Right,5,3
Angelo Obinze Ogbonna,Left,5,3
Michael Carrick,Right,5,3
James Morrison,Right,5,3
Jonas Olsson,Left,5,3
Alberto Moreno Pérez,Left,5,3
Divock Okoth Origi,Right,5,3
Allan Romeo Nyom,Right,5,2
Eunan O''Kane,Right,5,4
James McArthur,Right,5,3
Sebastián Coates Nión,Right,5,3
Jeremain Lens,Right,5,4
Wayne Routledge,Right,5,4
Kyle Bartley,Right,5,3
Éderzito António Macedo Lopes,Right,5,4
Jonjo Shelvey,Right,5,3
André Ayew Pelé,Left,5,3
Sung-Yeung Ki,Right,5,4
Harry Arter,Right,5,5
Neil Taylor,Left,5,3
Sadio Mané,Right,5,3
Virgil van Dijk,Right,5,3
Victor Wanyama,Right,5,3
Gylfi Þór Sigurðsson,Right,5,3
Graziano Pellè,Right,5,4
James Ward-Prowse,Right,5,3
Oriol Romeu Vidal,Right,5,3
Kevin Mirallas,Right,5,4
Jack Colback,Left,5,3
Jonathan Howson,Right,5,4
Steven Whittaker,Right,5,4
Graham Dorrans,Right,5,3
Bradley Johnson,Left,5,2
Ignacio Monreal Eraso,Left,5,3
Joel Nathaniel Campbell Samuels,Left,5,2
Bafétimbi Gomis,Right,5,3
Laurent Koscielny,Right,5,3
Ashley Williams,Right,5,4
Mesut Özil,Left,5,2
Faustino Marcos Alberto Rojo,Left,5,2
Jesús Navas González,Right,5,3
Wayne Mark Rooney,Right,5,4
Aaron Ramsey,Right,5,3
Wes Hoolahan,Left,5,2
Vadis Odjidja-Ofoe,Right,5,4
Kurt Happy Zouma,Right,5,3
Kevin Mbabu,Right,5,3
Vurnon Anita,Right,5,3
Daryl Janmaat,Right,5,3
Branislav Ivanović,Right,5,3
Rickie Lambert,Right,5,4
Callum McManaman,Right,5,4
Cristian Gamboa Luna,Right,5,3
John O''Shea,Right,5,3
Ola Toivonen,Right,5,3
Mousa Sidi Yaya Dembélé,Left,5,2
Alan Hutton,Right,5,3
Ciaran Clark,Left,5,2
Josh Onomah,Right,5,3
Steven Davis,Right,5,3
Ryan Bertrand,Left,5,3
José Miguel da Rocha Fonte,Right,5,3
Dušan Tadić,Left,5,2
Radamel Falcao García Zárate,Right,5,4
Theo Walcott,Right,5,3
Francis Joseph Coquelin,Right,5,3
Kieran Richardson,Left,5,3
Federico Fernández,Right,5,2
Gabriel Imuetinyan Agbonlahor,Right,5,3
Modou Barrow,Left,5,2
Chris Brunt,Left,5,2
Max-Alain Gradel,Right,5,3
Jeffrey Schlupp,Left,5,2
Simon Francis,Right,5,4
Manuel Lanzini,Right,5,3
Joe Gomez,Right,5,3
Cheikhou Kouyaté,Right,5,3
Aaron Cresswell,Left,5,3
Diafra Sakho,Right,5,3
Daniel William John Ings,Right,5,3
Florian Thauvin,Left,5,3
José Manuel Jurado Marín,Right,5,4
Chancel Mbemba Mangulu,Right,5,3
Massadio Haïdara,Left,5,3
Shane Long,Right,5,3
John Terry,Right,5,4
Dieumerci Mbokani Bezua,Right,5,3
Sébastien Aymar Bassong Nguena,Left,5,3
Robert Kenedy Nunes do Nascimento,Left,5,3
Jonathan Grant Evans,Right,5,2
Carles Gil de Pareja Vicent,Left,5,3
Brendan Joel Zibusiso Galloway,Left,5,3
Steven Naismith,Right,5,3
Gerard Deulofeu Lázaro,Right,5,4
José Luis Sanmartín Mato,Right,5,3
Matt Jarvis,Right,5,4
Toby Alderweireld,Right,5,3
Nacer Chadli,Right,5,4
Andros Townsend,Left,5,4
Clinton Mua N''Jie,Right,5,3
Jefferson Antonio Montero Vite,Right,5,4
Carl Jenkinson,Right,5,2
Dimitri Payet,Right,5,4
Nikica Jelavić,Right,5,4
Brede Hangeland,Right,5,3
Andy Carroll,Left,5,3
Fernando Francisco Reges,Right,5,2
David Josué Jiménez Silva,Left,5,2
Kelechi Promise Iheanacho,Left,5,3
Philipp Wollscheid,Right,5,4
Jamaal Lascelles,Right,5,3
Gareth Barry,Left,5,3
Martin Škrtel,Right,5,2
Mamadou Sakho,Left,5,2
James McCarthy,Right,5,4
Guangtai Jiang,Right,5,3
Kyle Naughton,Right,5,3
Danny Simpson,Right,5,3
Andrew Philip King,Right,5,3
Jack Frank Porteous Cork,Right,5,4
Heung-Min Son,Right,5,5
Adlène Guédioura,Right,5,4
Sebastian Larsson,Right,5,3
Gökhan İnler,Right,5,4
Nathan Dyer,Right,5,3
Lucas Pezzini Leiva,Right,5,3
Tom Carroll,Left,5,2
Cédric Ricardo Alves Soares,Right,5,4
Jay Rodriguez,Right,5,4
Maya Yoshida,Right,5,4
Gabriel Antoine Obertan,Right,5,3
Kieran Gibbs,Left,5,2
Alex Oxlade-Chamberlain,Right,5,4
Adama Traoré Diarra,Right,5,3
Stephen Ireland,Right,5,3
Eliaquim Mangala,Left,5,4
Juan Miguel Jiménez López,Right,5,3
Adnan Januzaj,Left,5,4
Darron Gibson,Right,5,4
Ashley Young,Right,5,3
Ruben Loftus-Cheek,Right,5,4
Lee Tomlin,Right,5,3
Andrew Surman,Left,5,4
Andrej Kramarić,Right,5,4
Phil Jones,Right,5,3
Michail Antonio,Right,5,4
Alexandre Dimitri Song-Billong,Right,5,3
Ryan Shawcross,Right,5,3
James Collins,Right,5,2
Enner Remberto Valencia Lastra,Right,5,3
Luis Antonio Valencia Mosquera,Right,5,1
Paul Dummett,Left,5,2
Mathieu Flamini,Right,5,3
Vincent Kompany,Right,5,3
Martin Olsson,Left,5,2
Victor Chinedu Anichebe,Right,5,3
Samir Nasri,Right,5,4
Marouane Chamakh,Right,5,3
Craig Cathcart,Right,5,3
Marcin Ryszard Wasilewski,Right,5,3
DeAndre Yedlin,Right,5,3
Calum Chambers,Right,5,3
Jan Vertonghen,Left,5,3
