0
Aaron Ramsey
Francesc Fàbregas i Soler
Alexis Alejandro Sánchez Sánchez
Diego da Silva Costa
Theo Walcott
Pedro Eliezer Rodríguez Ledesma
Kurt Happy Zouma
Branislav Ivanović
Nemanja Matić
Eden Hazard
Loïc Rémy
Ramires Santos do Nascimento
Scott Sinclair
Olivier Giroud
Laurent Koscielny
Leandro Bacuna
Jordan Ayew
Idrissa Gana Gueye
Alan Hutton
Rudy Gestede
Jordan Veretout
Carlos Alberto Sánchez Moreno
Carles Gil de Pareja Vicent
Kieran Gibbs
Alex Oxlade-Chamberlain
Adama Traoré Diarra
Héctor Bellerín Moruno
David Josué Jiménez Silva
Fernando Luiz Roza
Kevin De Bruyne
Gnégnéri Yaya Touré
Aleksandar Kolarov
Sergio Leonel Agüero del Castillo
Joel Nathaniel Campbell Samuels
Wilfried Guemiand Bony
Raheem Sterling
Ignacio Monreal Eraso
Bafétimbi Gomis
Gylfi Þór Sigurðsson
Jonjo Shelvey
Ashley Williams
Mesut Özil
Fabio Borini
Duncan Watmore
Yann Gérard M'Vila
DeAndre Yedlin
Steven Fletcher
Patrick van Aanholt
Calum Chambers
Christian Benteke Liolo
Philippe Coutinho Correia
James Philip Milner
Dejan Lovren
Nathaniel Edwin Clyne
Roberto Firmino Barbosa de Oliveira
Santiago Cazorla González
Francis Joseph Coquelin
Martin Škrtel
Gabriel Armando de Abreu
Sadio Mané
Rhu-endly Martina
James Ward-Prowse
Steven Davis
Shane Long
José Miguel da Rocha Fonte
Dušan Tadić
Oriol Romeu Vidal
Juan Miguel Jiménez López
Éderzito António Macedo Lopes
Adam David Lallana
Jordon Ibe
Kyle Bartley
Alberto Moreno Pérez
Sung-Yeung Ki
Jefferson Antonio Montero Vite
Jack Frank Porteous Cork
Junior Stanislas
Joshua King
Riyad Mahrez
José Leonardo Ulloa
Jamie Vardy
Dan Gosling
Wes Morgan
Adam Smith
N''Golo Kanté
Robert Huth
Charlie Daniels
Shinji Okazaki
Danny Drinkwater
Lee Cattermole
Billy Jones
Yann Gérard M''Vila
Stéphane Sessègnon
James McClean
Jordi Gómez García-Penche
Craig Dawson
José Salomón Rondón Giménez
Claudio Ariel Yacob
Saido Berahino
Jermain Defoe
Danny Graham
Papiss Demba Cissé
Aleksandar Mitrović
Fabricio Coloccini
Ashley Westwood
Moussa Sissoko
Siem Stefan de Jong
Georginio Wijnaldum
Ayoze Pérez Gutiérrez
Tom Cleverley
Marc Pugh
Ross Barkley
Matt Ritchie
Steve Cook
El-Hadji Baye Oumar Niasse
Callum Wilson
Leighton Baines
Aaron Lennon
Tony Hibbert
Benik Afobe
Yohan Cabaye
Troy Deeney
Connor Wickham
Pape N''Diaye Souaré
Odion Jude Ighalo
Emmanuel Adebayor
Jordon Mutch
Nathan Aké
Mario Suárez Mata
Chung-Yong Lee
Damien Delaney
Wilfried Zaha
Almen Abdi
Joel Ward
Jack Wilshere
Kevin Toner
Mohamed Naser Elsayed Elneny
Jack Grealish
Micah Richards
Mikel Arteta Amatriain
Oluwaseyi Babajide Ojo
Cameron Brannagan
Joe Allen
Tyler Roberts
Harry Kane
Kyle Walker
Christian Dannemann Eriksen
Eric Dier
Danny Rose
Bamidele Alli
Lewis Grabban
Ryan Mason
Bacary Sagna
Marc Albrighton
Christian Fuchs
Nicolás Hernán Otamendi
Fernando Luiz Rosa
Yannick Bolasie Yala
Dwight Gayle
Séamus Coleman
Arouna Koné
Romelu Lukaku Menama
Mile Jedinak
Jason Puncheon
John Stones
José Ramiro Funes Mori
Ryan Bennett
Alexander Banor Tettey
Cameron Jerome
Nathan Redmond
Robert Brady
Patrick Bamford
Jack Rodwell
Wahbi Khazri
Dame N''Doye
Scott Dann
Younes Kaboul
Bakary Sako
Russell Martin
Darren Fletcher
Craig Gardner
Gary O''Neil
Erik Lamela
Joleon Lescott
Daniel Andre Sturridge
Emre Can
Bertrand Isidore Traoré
Gary Cahill
Willian Borges da Silva
Kolo Habib Touré
Adam Johnson
Jordan Brian Henderson
Bojan Krkíc Pérez
Memphis Depay
Ander Herrera Agüera
Marko Arnautović
Erik Pieters
Marouane Fellaini-Bakkioui
Anthony Martial
Ibrahim Afellay
Charlie Adam
Juan Manuel Mata García
Ben Watson
Ikechi Anya
Xherdan Shaqiri
Juan Carlos Paredes Reasco
Jonathan Walters
Etienne Capoue
Geoff Cameron
Fabian Delph
Glen Johnson
Glenn Whelan
Oscar dos Santos Emboaba Júnior
Glenn Murray
Mame Biram Diouf
Sylvain Distin
Marco van Ginkel
Ritchie De Laet
Paddy McNair
Victor Moses
Mauro Matías Zárate
Winston Reid
Matteo Darmian
Chris Smalling
Jesse Lingard
Morgan Schneiderlin
Mark Noble
Guillermo Varela Olivera
Bastian Schweinsteiger
Angelo Obinze Ogbonna
Michael Carrick
James Morrison
Jonas Olsson
Divock Okoth Origi
Allan Romeo Nyom
Eunan O''Kane
James McArthur
Sebastián Coates Nión
Jeremain Lens
Wayne Routledge
André Ayew Pelé
Harry Arter
Neil Taylor
Virgil van Dijk
Victor Wanyama
Graziano Pellè
Kevin Mirallas
Jack Colback
Jonathan Howson
Steven Whittaker
Graham Dorrans
Bradley Johnson
Faustino Marcos Alberto Rojo
Jesús Navas González
Wayne Mark Rooney
Wes Hoolahan
Vadis Odjidja-Ofoe
Kevin Mbabu
Vurnon Anita
Daryl Janmaat
Rickie Lambert
Callum McManaman
Cristian Gamboa Luna
John O''Shea
Ola Toivonen
