location,player,player_id,position,shot_aerial_won,shot_first_time,shot_statsbomb_xg,under_pressure,shot_open_goal,shot_follows_dribble,goalkeeper_success_out,half_end_early_video_end,goal,shot_body_part_Head,shot_body_part_Left Foot,shot_body_part_Other,shot_body_part_Right Foot,shot_technique_Backheel,shot_technique_Diving Header,shot_technique_Half Volley,shot_technique_Lob,shot_technique_Normal,shot_technique_Overhead Kick,shot_technique_Volley,shot_type_Corner,shot_type_Free Kick,shot_type_Open Play,shot_type_Penalty,x,y,distance,angle
"[94.5, 42.9]",Aaron Ramsey,3517.0,Right Wing,0,1,0.0388317,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,94.5,42.9,25.664372191814863,17.611035131037767
"[93.5, 48.4]",Francesc Fàbregas i Soler,3478.0,Right Defensive Midfield,0,0,0.031541128,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,93.5,48.4,27.79946042641835,15.648789170892655
"[89.8, 22.3]",Alexis Alejandro Sánchez Sánchez,3385.0,Left Wing,0,0,0.0066598873,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,89.8,22.3,35.00471396826433,11.297814096790285
"[98.2, 26.0]",Diego da Silva Costa,5198.0,Center Forward,0,0,0.022901611,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,98.2,26.0,25.908299828433357,14.904419111850405
"[105.7, 24.2]",Theo Walcott,3668.0,Center Forward,0,0,0.04974059,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,105.7,24.2,21.31032613546775,14.633756155317545
"[115.1, 45.5]",Pedro Eliezer Rodríguez Ledesma,3958.0,Right Wing,0,0,0.40097466,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,115.1,45.5,7.366138744281162,45.69526709485707
"[103.9, 23.5]",Aaron Ramsey,3517.0,Right Wing,0,0,0.023206672,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,103.9,23.5,23.05341623274086,14.029443216582832
"[87.3, 42.5]",Kurt Happy Zouma,3456.0,Right Center Back,0,0,0.020537829,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,87.3,42.5,32.79542651041453,13.868931343982647
"[92.6, 47.4]",Pedro Eliezer Rodríguez Ledesma,3958.0,Right Wing,0,1,0.03388771,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,92.6,47.4,28.38168423473139,15.516624953545362
"[95.7, 28.2]",Francesc Fàbregas i Soler,3478.0,Right Defensive Midfield,0,1,0.02670228,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,95.7,28.2,27.0135151359463,15.236165553924923
"[109.7, 35.7]",Francesc Fàbregas i Soler,3478.0,Right Defensive Midfield,1,0,0.070368364,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,109.7,35.7,11.161541112229974,37.19440660244472
"[88.5, 46.8]",Branislav Ivanović,5594.0,Right Back,0,0,0.02306685,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,88.5,46.8,32.225610932921036,13.845036556036664
"[97.0, 39.6]",Pedro Eliezer Rodríguez Ledesma,3958.0,Right Wing,0,0,0.051289365,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,97.0,39.6,23.003477997902838,19.725936513070305
"[106.2, 50.0]",Pedro Eliezer Rodríguez Ledesma,3958.0,Right Wing,0,1,0.047126833,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,106.2,50.0,17.042300314218146,21.91362706545023
"[95.2, 44.9]",Alexis Alejandro Sánchez Sánchez,3385.0,Left Wing,0,0,0.07817649,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,95.2,44.9,25.279438284898657,17.663218532682507
"[83.7, 41.5]",Nemanja Matić,3381.0,Left Defensive Midfield,0,0,0.009548494,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,83.7,41.5,36.330978516962624,12.555417397096697
"[112.3, 42.5]",Kurt Happy Zouma,3456.0,Right Center Back,0,0,0.19744614,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,112.3,42.5,8.095677859203642,51.19303600545319
"[98.5, 27.4]",Eden Hazard,3621.0,Left Wing,0,0,0.030608306,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,98.5,27.4,24.920072231034965,15.870070475901752
"[112.9, 47.6]",Alexis Alejandro Sánchez Sánchez,3385.0,Left Wing,0,1,0.097416475,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,112.9,47.6,10.400480758118825,31.643558909846167
"[100.0, 19.7]",Theo Walcott,3668.0,Center Forward,0,0,0.011941639,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,100.0,19.7,28.497192844208357,11.364039257413795
