manual_review
sofifa_id,statsbomb_id,statsbomb_name,statsbomb_name_norm,short_name,long_name,player_positions,club_name,shooting,attacking_heading_accuracy,preferred_foot,weak_foot
231747,3009.0,{'Kylian Mbappé Lottin'},kylian mbappe lottin,K. Mbappe Lottin,Kylian Mbappé Lottin,LW,AS Monaco,60,41,Right,3
231041,3020.0,{'Rodrigue Casimir Ninga'},rodrigue casimir ninga,C. Ninga,Rodrigue Casimir Ninga,"ST, RW",Montpellier Hérault SC,71,61,Right,3
232411,3025.0,{'Christopher Nkunku'},christopher nkunku,C. Nkunku,Christopher Alan Nkunku,CM,Paris Saint-Germain,52,47,Right,3
222492,3053.0,{'Leroy Sané'},leroy sane,L. Sané,Leroy Aziz Sané,"RM, LM, ST",FC Schalke 04,71,69,Left,3
200104,3083.0,{'Heung-Min Son'},heung min son,H. Son,Heung-min Son,"LM, CAM, RM",Tottenham Hotspur,79,65,Right,5
222737,3109.0,{'Malcom Filipe Silva de Oliveira'},malcom filipe silva de oliveira,Malcom,Malcom Filipe Silva de Oliveira,"RM, ST",FC Girondins de Bordeaux,61,57,Left,4
227236,3141.0,{'André-Frank Zambo Anguissa'},andre frank zambo anguissa,A. Zambo Anguissa,André-Frank Zambo Anguissa,CM,Olympique de Marseille,48,65,Right,2
215798,3162.0,{'Gnaly Maxwell Cornet'},gnaly maxwell cornet,M. Cornet,Gnaly Maxwel Cornet,"LW, RW, ST",Olympique Lyonnais,70,68,Left,4
202166,3186.0,{'Julian Draxler'},julian draxler,J. Draxler,Julian Draxler,"CAM, LM, RM",VfL Wolfsburg,78,65,Right,5
224196,3191.0,{'Ramy Bensebaini'},ramy bensebaini,R. Bensebaini,Ramy Bensebaini,"LB, CB, CDM",Montpellier Hérault SC,45,72,Left,3
215792,3217.0,{'Jemerson de Jesus Nascimento'},jemerson de jesus nascimento,Jemerson,Jemerson de Jesus Nascimento,CB, AS Monaco,36,78,Right,2
212692,3218.0,{'Marcos Paulo Mesquita Lopes'},marcos paulo mesquita lopes,Marcos Lopes,Marcos Paulo Mesquita Lopes,CAM,LOSC Lille,64,38,Left,3
231102,3235.0,{'Ludovic Blas'},ludovic blas,L. Blas,Ludovic Blas,CDM,En Avant de Guingamp,56,50,Left,3
202648,3236.0,{'Sergi Darder Moll'},sergi darder moll,Sergi Darder,Sergi Darder Moll,"CM, CDM",Olympique Lyonnais,58,39,Right,4
183108,3302.0,{'Nordin Amrabat'},nordin amrabat,N. Amrabat,Noureddine Amrabat,"ST, LM, CAM",Watford,76,68,Right,2
231677,3318.0,{'Marcus Rashford'},marcus rashford,M. Rashford,Marcus Rashford,ST,Manchester United,66,63,Right,3
190717,3349.0,{'Michail Antonio'},michail antonio,M. Antonio,Michail Gregory Antonio,"RM, RB, LM",West Ham United,72,75,Right,4
231352,3440.0,{'Tammy Bakumo-Abraham'},tammy bakumo abraham,T. Abraham,Kevin Oghenetega Tamaraebi Bakumo-Abraham, ST, Chelsea FC,63,73,Right,3
169706,3462.0,{'Jack Frank Porteous Cork'},jack frank porteous cork,J. Cork,Jack Frank Porteous Cork,"CDM, CM",Swansea City,55,69,Right,4
232270,3465.0,{'Timothy Evans Fosu-Mensah'},timothy evans fosu mensah,T. Fosu-Mensah,Timothy Evans Fosu-Mensah,"CDM, CB, RB",Manchester United,51,67,Right,4
160292,3626.0,{'Ben Watson'},ben watson,B. Watson,Benjamin Watson,"CDM, CM",Watford,68,58,Right,3
155976,3636.0,{'Charlie Adam'},charlie adam,C. Adam,Charles Graham Adam,"CM, CAM",Stoke City,79,69,Left,3
230005,3652.0,{'Tom Davies'},tom davies,T. Davies,Thomas Davies,CM,Everton FC,41,50,Right,3
205351,3656.0,{'Alex Pritchard'},alex pritchard,A. Pritchard,Alex David Pritchard,"CAM, CM, LM",West Bromwich Albion,65,44,Right,4
186132,3662.0,{'Danny Drinkwater'},danny drinkwater,D. Drinkwater,Daniel Noel Drinkwater,CM,Leicester City,64,59,Right,4
206436,3673.0,{'Yassine Benzia'},yassine benzia,Y. Benzia,Yassine Benzia,"ST, RW, LW",LOSC Lille,70,60,Right,4
188567,3712.0,{'Pierre-Emerick Aubameyang'},pierre emerick aubameyang,P. Aubameyang,Pierre-Emerick Emiliano François Aubameyang,"ST, RM",Borussia Dortmund,83,77,Right,4
197937,3774.0,{'Papiss Mison Djilobodji'},papiss mison djilobodji,P. Djilobodji,El Hadji Papy Mison Djilobodji,CB,Werder Bremen,44,74,Left,3
152747,3953.0,{'Aaron Lennon'},aaron lennon,A. Lennon,Aaron Justin Lennon,RM,Everton FC,64,28,Right,3
228815,4129.0,{'Tyler Roberts'},tyler roberts,T. Roberts,Tyler D'Whyte Roberts,ST,West Bromwich Albion,59,57,Right,3
225908,4273.0,{'Reece Oxford'},reece oxford,R. Oxford,Reece Joel Oxford,"CB, CDM",West Ham United,38,64,Right,3
