shot_aerial_won,shot_first_time,shot_statsbomb_xg,under_pressure,shot_open_goal,shot_follows_dribble,goal,shot_body_part_Head,shot_body_part_Left Foot,shot_body_part_Other,shot_body_part_Right Foot,shot_technique_Backheel,shot_technique_Diving Header,shot_technique_Half Volley,shot_technique_Lob,shot_technique_Normal,shot_technique_Overhead Kick,shot_technique_Volley,shot_type_Corner,shot_type_Free Kick,shot_type_Open Play,shot_type_Penalty,x,y,distance,angle,shooting
0,1,0.0388317,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,94.5,42.9,0.3701541333685966,0.09783908406132093,0.6194690265486726
0,0,0.031541128,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,93.5,48.4,0.40172629565591095,0.08693771761607032,0.7610619469026547
0,0,0.0066598873,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,89.8,22.3,0.5082724469847131,0.06276563387105713,0.6814159292035398
0,0,0.022901611,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,98.2,26.0,0.37376116131473225,0.08280232839916891,0.8761061946902655
0,0,0.04974059,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,105.7,24.2,0.3057696051465292,0.08129864530731969,0.5663716814159292
0,0,0.40097466,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,115.1,45.5,0.09957290557030501,0.2538625949714282,0.5752212389380531
0,0,0.023206672,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,103.9,23.5,0.3315451785118789,0.07794135120323796,0.6194690265486726
0,0,0.020537829,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,87.3,42.5,0.47560307949531,0.07704961857768139,0.5398230088495575
0,1,0.03388771,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,92.6,47.4,0.410335806150924,0.08620347196414091,0.5752212389380531
0,1,0.02670228,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,95.7,28.2,0.3901042971560025,0.0846453641884718,0.7610619469026547
1,0,0.070368364,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,109.7,35.7,0.1556966092957349,0.20663559223580402,0.7610619469026547
0,0,0.02306685,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,88.5,46.8,0.4671770530693786,0.07691686975575925,0.7256637168141593
0,0,0.051289365,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,97.0,39.6,0.3308067275059228,0.10958853618372393,0.5752212389380531
0,1,0.047126833,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,106.2,50.0,0.24265708282027237,0.1217423725858346,0.5752212389380531
0,0,0.07817649,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,95.2,44.9,0.3644620052485119,0.09812899184823615,0.6814159292035398
0,0,0.009548494,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,83.7,41.5,0.5278843013749793,0.06975231887275943,0.7168141592920354
0,0,0.19744614,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,112.3,42.5,0.1103608097692871,0.28440575558585107,0.5398230088495575
0,0,0.030608306,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,98.5,27.4,0.3591479563069967,0.08816705819945418,0.6460176991150441
0,1,0.097416475,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,112.9,47.6,0.14444259148934643,0.1757975494991454,0.6814159292035398
0,0,0.011941639,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,100.0,19.7,0.4120438650989731,0.06313355143007664,0.5663716814159292
0,0,0.04208766,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,102.0,52.6,0.3155510105616667,0.09525279568606858,0.6460176991150441
0,1,0.08795297,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,109.6,33.8,0.1696899310073706,0.18055316991373876,0.8761061946902655
0,0,0.03997012,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,96.7,35.3,0.3421312745948943,0.10419079044631556,0.7610619469026547
0,0,0.070070244,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,96.1,41.9,0.34517887708346723,0.10493532150942406,0.5752212389380531
0,1,0.025204938,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,100.8,29.4,0.3149582191520406,0.1015530876033009,0.5663716814159292
0,1,0.03308965,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,94.9,33.8,0.3729641292707128,0.09503573012636189,0.7168141592920354
