Estimator,Model,Log Loss,Log Loss 95% CI,ROC_AUC,ROC_AUC 95% CI,Brier Score,Brier Score 95% CI
Logistic Regression,A,0.2958062852392161,"[0.2823, 0.3094]",0.7520987646513768,"[0.7357, 0.7684]",0.08460431438467601,"[0.0800, 0.0893]"
Logistic Regression,B,0.27948383302746127,"[0.2663, 0.2928]",0.7861842293472916,"[0.7697, 0.8027]",0.07959930944873392,"[0.0751, 0.0841]"
Logistic Regression,C,0.29237041522558693,"[0.2792, 0.3059]",0.7615895051829956,"[0.7449, 0.7776]",0.08377733970707561,"[0.0792, 0.0884]"
Logistic Regression,D,0.2783629314427336,"[0.2654, 0.2915]",0.790026795046801,"[0.7737, 0.8069]",0.07943965389332827,"[0.0750, 0.0839]"
Random Forest,A,0.2942137916037427,"[0.2809, 0.3075]",0.7525220860386604,"[0.7361, 0.7688]",0.084430489625494,"[0.0797, 0.0892]"
Random Forest,B,0.2810884037823442,"[0.2684, 0.2939]",0.7888836842617193,"[0.7730, 0.8046]",0.08037068575472185,"[0.0758, 0.0848]"
Random Forest,C,0.29116779619295985,"[0.2781, 0.3042]",0.7645510986481119,"[0.7481, 0.7803]",0.08359975111243503,"[0.0789, 0.0883]"
Random Forest,D,0.28050728718702667,"[0.2679, 0.2932]",0.7900991428777061,"[0.7740, 0.8063]",0.08021573763211619,"[0.0757, 0.0847]"
XGBoost,A,0.29423120380852336,"[0.2806, 0.3075]",0.7529695735588477,"[0.7364, 0.7694]",0.08435828411427529,"[0.0797, 0.0891]"
XGBoost,B,0.278620122935278,"[0.2650, 0.2919]",0.7907921312059909,"[0.7748, 0.8071]",0.07961984714616971,"[0.0751, 0.0840]"
XGBoost,C,0.2909026883825982,"[0.2776, 0.3041]",0.765503138887057,"[0.7488, 0.7817]",0.08349109125376232,"[0.0789, 0.0881]"
XGBoost,D,0.27784562477774993,"[0.2644, 0.2911]",0.7927363380042479,"[0.7765, 0.8091]",0.07940745092167201,"[0.0750, 0.0839]"
CatBoost,A,0.2939629187604554,"[0.2806, 0.3074]",0.7536868033039396,"[0.7371, 0.7699]",0.08428734609108181,"[0.0797, 0.0890]"
CatBoost,B,0.2787730007452291,"[0.2653, 0.2921]",0.7897322844177679,"[0.7739, 0.8059]",0.07952029092035214,"[0.0750, 0.0839]"
CatBoost,C,0.29068672057523853,"[0.2774, 0.3040]",0.7660920848612202,"[0.7498, 0.7818]",0.08348056721198681,"[0.0789, 0.0881]"
CatBoost,D,0.277418401363237,"[0.2639, 0.2908]",0.7920807657758172,"[0.7757, 0.8084]",0.07908921411605194,"[0.0747, 0.0835]"
TABPFN,A,0.29357387824341297,"[0.2801, 0.3071]",0.7546008251718054,"[0.7382, 0.7709]",0.08418664334740801,"[0.0795, 0.0889]"
TABPFN,B,0.2770250012341084,"[0.2636, 0.2905]",0.7919755941631487,"[0.7757, 0.8081]",0.07889192916310586,"[0.0745, 0.0833]"
TABPFN,C,0.2905114464685848,"[0.2773, 0.3040]",0.7650087494952214,"[0.7490, 0.7805]",0.08340573527974236,"[0.0788, 0.0880]"
TABPFN,D,0.27574479915377537,"[0.2626, 0.2890]",0.7951286345939171,"[0.7790, 0.8110]",0.07865003552142429,"[0.0742, 0.0830]"
