Estimator,Comparison,Metric,Median Δ,95% CI Lower,95% CI Upper
Logistic Regression,A → B,Log Loss,-0.016384888054265273,-0.020221892829711183,-0.012518970343690622
Logistic Regression,A → B,ROC_AUC,0.034331693315027834,0.025599966848569314,0.04278274923980333
Logistic Regression,A → B,Brier Score,-0.005006681785325824,-0.006235455623092125,-0.0038507584390489917
Logistic Regression,A → C,Log Loss,-0.0034298820620808634,-0.004923789631532326,-0.001998963929235359
Logistic Regression,A → C,ROC_AUC,0.00951753885875306,0.005708320715162177,0.013441476276642987
Logistic Regression,A → C,Brier Score,-0.0008271006939603934,-0.0012580439213900063,-0.00041078021995953135
Logistic Regression,B → D,Log Loss,-0.0011193839949193707,-0.001956442442724131,-0.00032136075716889304
Logistic Regression,B → D,ROC_AUC,0.003823315406048744,0.0018260500187561618,0.005894527282690986
Logistic Regression,B → D,Brier Score,-0.00016176145077746729,-0.0003736106022833773,5.8329542488526496e-05
Logistic Regression,C → D,Log Loss,-0.0140340646164345,-0.017533412198707576,-0.010536681997457747
Logistic Regression,C → D,ROC_AUC,0.028628765046762594,0.02048056830264542,0.036781513010812394
Logistic Regression,C → D,Brier Score,-0.004330053601521958,-0.005480200089177553,-0.00323016749875921
Logistic Regression,A → D,Log Loss,-0.017500681217030856,-0.021432691352248515,-0.013774342343268279
Logistic Regression,A → D,ROC_AUC,0.03815387721157876,0.02911809975381547,0.046958560893353436
Logistic Regression,A → D,Brier Score,-0.00516730926799145,-0.006408547903361568,-0.003995679224032442
Random Forest,A → B,Log Loss,-0.013183051080063263,-0.016131000644289316,-0.010023019073162734
Random Forest,A → B,ROC_AUC,0.036422439271773965,0.028967432627975468,0.04350367948224764
Random Forest,A → B,Brier Score,-0.0040707181214141575,-0.005064380698988431,-0.003084664838586808
Random Forest,A → C,Log Loss,-0.003044733476033429,-0.0044606043626165895,-0.0015997604293379202
Random Forest,A → C,ROC_AUC,0.012080342995054949,0.007541147902651579,0.016248491703989128
Random Forest,A → C,Brier Score,-0.0008356399152277261,-0.001295582580126164,-0.0003731355602988806
Random Forest,B → D,Log Loss,-0.0005766599227036706,-0.001250651706023162,6.444061778020056e-05
Random Forest,B → D,ROC_AUC,0.0011617148520512988,-0.0009726191263854877,0.0034855918577401082
Random Forest,B → D,Brier Score,-0.00015612548152004607,-0.0003357931449014851,3.1113604099474896e-05
Random Forest,C → D,Log Loss,-0.010719580565582837,-0.01332983698204622,-0.008026145034954616
Random Forest,C → D,ROC_AUC,0.025610910460352188,0.018803845288796063,0.032262195330220456
Random Forest,C → D,Brier Score,-0.0033929191989896107,-0.004281695587782921,-0.002495347859712647
Random Forest,A → D,Log Loss,-0.013740680239914677,-0.01666642839264554,-0.010618067733723277
Random Forest,A → D,ROC_AUC,0.03759757618982573,0.029940564183136065,0.04487735071363898
Random Forest,A → D,Brier Score,-0.00423653293390016,-0.0052266333787016435,-0.0032259571531840403
XGBoost,A → B,Log Loss,-0.015667863898951723,-0.01934069116880177,-0.011783668071402856
